file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
bhD-06-001.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-06-002.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-06-003.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-06-004.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-06-005.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-06-006.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-06-007.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-06-008.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-06-009.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-06-010.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-04-001.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-04-002.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-04-003.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-04-004.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-04-005.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-04-006.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-04-007.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-04-008.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-04-009.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-04-010.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhS-05-001.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhS-05-002.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhS-05-003.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhS-05-004.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhS-05-005.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhS-05-006.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhS-05-007.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhS-05-008.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhS-05-009.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhS-05-010.lp,0,240,0,240,146,0,146,0.0273972602739726,-10000.0,1.0
bhD-03-001.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhD-03-002.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhD-03-003.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhD-03-004.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhD-03-005.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhD-03-006.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhD-03-007.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhD-03-008.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhD-03-009.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhD-03-010.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-001.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-002.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-003.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-004.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-005.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-006.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-007.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-008.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-009.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-03-010.lp,0,12,0,12,16,0,16,0.1875,-1000.0,1.0
bhS-06-001.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-06-002.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-06-003.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-06-004.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-06-005.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-06-006.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-06-007.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-06-008.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-06-009.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhS-06-010.lp,0,1440,0,1440,757,0,757,0.0059445178335535,-10000.0,1.0
bhD-04-001.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-04-002.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-04-003.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-04-004.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-04-005.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-04-006.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-04-007.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
bhD-04-008.lp,0,48,0,48,41,0,41,0.08536585365853659,-10000.0,1.0
