file,num_binary_vars,num_integer_vars,num_continuous_vars,num_vars,num_linear_constraints,num_quadratic_constraints,num_constraints,density,min_coeff,max_coeff
stp_s003_l1_t2_h0_rs97531.lp,0,48,0,48,44,0,44,0.056818181818181816,-1.0,1.0
stp_s003_l1_t2_h3_rs24098.lp,0,16,0,16,20,0,20,0.125,-1.0,1.0
stp_s003_l1_t2_h5_rs24098.lp,0,16,0,16,20,0,20,0.125,-1.0,1.0
stp_s003_l1_t3_h0_rs24098.lp,0,120,0,120,93,0,93,0.02795698924731183,-2.0,1.0
stp_s003_l1_t3_h1_rs24098.lp,0,48,0,48,41,0,41,0.06504065040650407,-2.0,1.0
stp_s003_l2_t2_h4_rs24098.lp,0,84,0,84,72,0,72,0.034722222222222224,-1.0,1.0
stp_s003_l2_t2_h5_rs37235.lp,0,76,0,76,72,0,72,0.034722222222222224,-1.0,1.0
stp_s004_l1_t2_h4_rs37235.lp,0,48,0,48,46,0,46,0.05434782608695652,-1.0,1.0
stp_s004_l1_t3_h3_rs24098.lp,0,108,0,108,88,0,88,0.030303030303030304,-2.0,1.0
stp_s004_l1_t3_h3_rs97531.lp,0,48,0,48,47,0,47,0.05673758865248227,-2.0,1.0
stp_s020_l2_t3_h2_rs24098.lp,0,78372,0,78372,41117,0,41117,6.369743947874648e-05,-2.0,1.0
stp_s020_l2_t3_h3_rs97531.lp,0,131760,0,131760,64232,0,64232,4.151617054842861e-05,-2.0,1.0
stp_s020_l2_t4_h0_rs24098.lp,0,92160,0,92160,38366,0,38366,7.167804827190741e-05,-3.0,1.0
stp_s020_l2_t4_h3_rs37235.lp,0,81664,0,81664,41822,0,41822,6.303772264271523e-05,-3.0,1.0
stp_s020_l3_t3_h2_rs24098.lp,0,211820,0,211820,116216,0,116216,2.212628701236122e-05,-2.0,1.0
stp_s020_l3_t4_h0_rs24098.lp,0,234080,0,234080,101684,0,101684,2.6656369888964574e-05,-3.0,1.0
stp_s020_l3_t4_h2_rs97531.lp,0,157040,0,157040,71282,0,71282,3.776981134518802e-05,-3.0,1.0
