class,file,num_vars,num_constraints,density,coeff_range,coeff_min,coeff_max,obj_value,optimal,file_available,problem_size
independentset,aves-sparrow-social.lp,52,454,0.038461538,1,0,1,13,yes,yes,153.6489505
independentset,brock200-1.lp,200,14834,0.01,1,0,1,6,yes,yes,1722.44013
independentset,brock200-2.lp,200,10024,0.01,1,0,1,12,yes,yes,1415.909602
independentset,brock200-3.lp,200,12048,0.01,1,0,1,9,yes,yes,1552.288633
independentset,brock200-4.lp,200,13089,0.01,1,0,1,8,yes,yes,1617.961681
independentset,brock400-1.lp,400,20077,0.005,1,0,1,27,yes,yes,2833.866616
independentset,brock800-1.lp,800,112095,0.0025,1,0,1,23,yes,yes,9469.741285
independentset,c-fat200-1.lp,200,1534,0.01,1,0,1,18,yes,yes,553.895297
independentset,C125-9.lp,125,787,0.016,1,0,1,34,yes,yes,313.6478918
independentset,C4000-5.lp,4000,3997732,0.0005,1,0,1,57,no,yes,126455.2411
independentset,C500-9.lp,500,12418,0.004,1,0,1,18,no,yes,2491.786508
independentset,chesapeake.lp,39,170,0.051282051,1,0,1,17,yes,yes,81.42481194
independentset,es60fst01.lp,123,159,0.016260163,1,0,1,17,yes,yes,139.8463442
independentset,es60fst02.lp,186,280,0.010752688,1,0,1,60,yes,yes,228.2104292
independentset,es60fst03.lp,113,142,0.017699115,1,0,1,88,yes,yes,126.6728069
independentset,es60fst04.lp,162,238,0.012345679,1,0,1,55,yes,yes,196.3568181
independentset,farm.lp,17,39,0.117647059,1,0,1,78,yes,yes,25.74878638
independentset,football.lp,35,118,0.057142857,1,0,1,10,yes,yes,64.26507605
independentset,frb100-40.lp,4000,572774,0.0005,1,0,1,16,no,yes,47865.3946
independentset,frb45-21-3.lp,945,58245,0.002116402,1,0,1,45,yes,yes,7418.997574
independentset,frb50-23-3.lp,1150,81068,0.00173913,1,0,1,50,yes,yes,9655.475131
independentset,frb53-24-1.lp,1272,94227,0.001572327,1,0,1,52,no,yes,10947.91049
independentset,frb59-26-2.lp,1534,126163,0.001303781,1,0,1,58,no,yes,13911.6513
independentset,gen200_p0-9_44.lp,200,1990,0.01,1,0,1,94,yes,yes,630.8724118
independentset,hamming10-4.lp,1024,89600,0.001953125,1,0,1,44,no,yes,9578.64291
independentset,hamming6-2.lp,64,1824,0.03125,1,0,1,2,yes,yes,341.6665041
independentset,hamming6-4.lp,64,704,0.03125,1,0,1,12,yes,yes,212.2639866
independentset,ibm32.lp,32,90,0.0625,1,0,1,40,yes,yes,53.66563146
independentset,insecta-ant-colony1-day38.lp,56,1134,0.035714286,1,0,1,88,yes,yes,252
independentset,insecta-ant-colony3-day09.lp,160,8883,0.0125,1,0,1,6,yes,yes,1192.174484
independentset,johnson16-2-4.lp,120,5460,0.016666667,1,0,1,15,yes,yes,809.4442538
independentset,johnson8-2-4.lp,28,210,0.071428571,1,0,1,7,yes,yes,76.68115805
independentset,johnson8-4-4.lp,70,1855,0.028571429,1,0,1,5,yes,yes,360.3470549
independentset,karate.lp,34,78,0.058823529,1,0,1,9,yes,yes,51.49757276
independentset,keller4.lp,171,5100,0.011695906,1,0,1,20,yes,yes,933.862945
independentset,keller6.lp,3361,1026582,0.000595061,1,0,1,11,no,yes,58739.61272
independentset,mammalia-kangaroo-interactions.lp,17,91,0.117647059,1,0,1,59,yes,yes,39.33192088
independentset,MANN-a9.lp,45,918,0.044444444,1,0,1,13,yes,yes,203.2486162
independentset,p_hat1500-1.lp,1500,839327,0.001333333,1,0,1,4,yes,yes,35482.25613
independentset,p_hat1500-3.lp,1500,277006,0.001333333,1,0,1,12,yes,yes,20384.03787
independentset,R_1000_005_1.lp,1000,24670,0.002,1,0,1,94,no,yes,4966.890375
independentset,R_500_005_1.lp,500,6256,0.004,1,0,1,91,no,yes,1768.615278
independentset,sloane_1dc_128.lp,128,1471,0.015625,1,0,1,117,yes,yes,433.9216519
independentset,sloane_1dc_64.lp,64,543,0.03125,1,0,1,10,yes,yes,186.4188832
independentset,sloane_1zc_128.lp,128,1120,0.015625,1,0,1,16,yes,yes,378.6291061
independentset,sloane_2dc_128.lp,128,5173,0.015625,1,0,1,18,yes,yes,813.7223114
independentset,socfb-haverford76.lp,1446,59589,0.001383126,1,0,1,5,no,yes,9282.547818
independentset,socfb-trinity100.lp,2613,111996,0.000765404,1,0,1,282,no,yes,17106.88598
independentset,sorrell4.lp,2048,504451,0.000976563,1,0,1,499,yes,yes,32142.11642
independentset,sorrell7.lp,2048,39424,0.000976563,1,0,1,24,no,yes,8985.563533
labs,labs002.lp,4,2,0.214285714,6,-4,2,198,yes,yes,2.828427125
labs,labs003.lp,6,3,0.160493827,8,-4,4,1,yes,yes,4.242640687
labs,labs004.lp,8,4,0.130681818,8,-4,4,2,yes,yes,5.656854249
labs,labs005.lp,10,5,0.107692308,8,-4,4,2,yes,yes,7.071067812
labs,labs006.lp,12,6,0.092592593,8,-4,4,7,yes,yes,8.485281374
labs,labs007.lp,14,7,0.080432173,8,-4,4,3,yes,yes,9.899494937
labs,labs008.lp,16,8,0.071546053,8,-4,4,8,yes,yes,11.3137085
labs,labs009.lp,18,9,0.064079953,8,-4,4,12,yes,yes,12.72792206
labs,labs010.lp,20,10,0.05826087,8,-4,4,13,yes,yes,14.14213562
labs,labs011.lp,22,11,0.05322314,8,-4,4,5,yes,yes,15.55634919
labs,labs012.lp,24,12,0.049125514,8,-4,4,10,yes,yes,16.97056275
labs,labs013.lp,26,13,0.045500918,8,-4,4,6,yes,yes,18.38477631
labs,labs014.lp,28,14,0.042462146,8,-4,4,19,yes,yes,19.79898987
labs,labs015.lp,30,15,0.03973064,8,-4,4,15,yes,yes,21.21320344
labs,labs016.lp,32,16,0.037388393,8,-4,4,24,yes,yes,22.627417
labs,labs017.lp,34,17,0.03525671,8,-4,4,32,yes,yes,24.04163056
labs,labs018.lp,36,18,0.033396645,8,-4,4,25,yes,yes,25.45584412
labs,labs019.lp,38,19,0.031687048,8,-4,4,29,yes,yes,26.87005769
labs,labs020.lp,40,20,0.030174419,8,-4,4,26,yes,yes,28.28427125
labs,labs021.lp,42,21,0.028772991,8,-4,4,26,yes,yes,29.69848481
labs,labs022.lp,44,22,0.027518903,8,-4,4,39,yes,yes,31.11269837
labs,labs023.lp,46,23,0.026349292,8,-4,4,47,yes,yes,32.52691193
labs,labs024.lp,48,24,0.025292756,8,-4,4,36,yes,yes,33.9411255
labs,labs025.lp,50,25,0.024301887,8,-4,4,36,yes,yes,35.35533906
labs,labs026.lp,52,26,0.023399677,8,-4,4,45,yes,yes,36.76955262
labs,labs027.lp,54,27,0.022549515,8,-4,4,37,yes,yes,38.18376618
labs,labs028.lp,56,28,0.021770149,8,-4,4,50,yes,yes,39.59797975
