class,file,num_vars,num_constraints,density,coeff_range,coeff_min,coeff_max,obj_value,optimal,feasible,file_available
birkhoff,bhD-3-001.qs,126,n/a,0.36070491,17200000,-10197117,7000001,5,yes,yes,yes
birkhoff,bhD-3-002.qs,126,n/a,0.36070491,13200000,-6240129,7000001,5,yes,yes,yes
birkhoff,bhD-3-003.qs,126,n/a,0.36070491,16400000,-9368751,7000001,5,yes,yes,yes
birkhoff,bhD-3-004.qs,126,n/a,0.36070491,15300000,-8293929,7000001,4,yes,yes,yes
birkhoff,bhD-3-005.qs,126,n/a,0.36070491,16200000,-9231831,7000001,5,yes,yes,yes
birkhoff,bhD-3-006.qs,126,n/a,0.36070491,18200000,-11176095,7000001,4,yes,yes,yes
birkhoff,bhD-3-007.qs,126,n/a,0.36070491,22100000,-15119391,7000001,5,yes,yes,yes
birkhoff,bhD-3-008.qs,126,n/a,0.36070491,16800000,-9806895,7000001,5,yes,yes,yes
birkhoff,bhD-3-009.qs,126,n/a,0.36070491,18000000,-11032329,7000001,5,yes,yes,yes
birkhoff,bhD-3-010.qs,126,n/a,0.36070491,21600000,-14640171,7000001,5,yes,yes,yes
birkhoff,bhD-3-011.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-012.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-013.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-014.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-015.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-016.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-017.lp,n/a,n/a,n/a,n/a,n/a,n/a,3,yes,n/a,no
birkhoff,bhD-3-018.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-019.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-020.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-021.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-022.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-023.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-024.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-025.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-026.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-027.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-028.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-029.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-030.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-031.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-032.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-033.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-034.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-035.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-036.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-037.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-038.lp,n/a,n/a,n/a,n/a,n/a,n/a,4,yes,n/a,no
birkhoff,bhD-3-039.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-040.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-041.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
birkhoff,bhD-3-042.lp,n/a,n/a,n/a,n/a,n/a,n/a,5,yes,n/a,no
